"eq_id","prefecture","mean_pga","max_pga"
"us20002kpm","Miyagi",NA,NA
"us20002kpm","Miyazaki",NA,NA
"us20002kpm","Nagano",NA,NA
"us20002kpm","Nagasaki",NA,NA
"us20002kpm","Nara",NA,NA
"us20002kpm","Niigata",NA,NA
"us20002kpm","Oita",NA,NA
"us20002kpm","Okayama",NA,NA
"us20002kpm","Okinawa",NA,NA
"us20002kpm","Osaka",NA,NA
"us20002kpm","Saga",NA,NA
"us20002kpm","Saitama",NA,NA
"us20002kpm","Shiga",NA,NA
"us20002kpm","Shimane",NA,NA
"us20002kpm","Shizuoka",NA,NA
"us20002kpm","Tochigi",NA,NA
"us20002kpm","Tokushima",NA,NA
"us20002kpm","Tokyo",0.234608918428421,0.251862078905106
"us20002kpm","Tottori",NA,NA
"us20002kpm","Toyama",NA,NA
"us20002kpm","Wakayama",NA,NA
"us20002kpm","Yamagata",NA,NA
"us20002kpm","Yamaguchi",NA,NA
"us20002kpm","Yamanashi",NA,NA
"us20002mvq","Aichi",NA,NA
"us20002mvq","Akita",NA,NA
"us20002mvq","Aomori",2.11726856231689,4.72383205832853
"us20002mvq","Chiba",NA,NA
"us20002mvq","Ehime",NA,NA
"us20002mvq","Fukui",NA,NA
"us20002mvq","Fukuoka",NA,NA
"us20002mvq","Fukushima",NA,NA
"us20002mvq","Gifu",NA,NA
"us20002mvq","Gunma",NA,NA
"us20002mvq","Hiroshima",NA,NA
"us20002mvq","Hokkaido",1.09845304489136,3.91129456898092
"us20002mvq","Hyogo",NA,NA
"us20002mvq","Ibaraki",NA,NA
"us20002mvq","Ishikawa",NA,NA
"us20002mvq","Iwate",NA,NA
"us20002mvq","Kagawa",NA,NA
"us20002mvq","Kagoshima",NA,NA
"us20002mvq","Kanagawa",NA,NA
"us20002mvq","Kochi",NA,NA
"us20002mvq","Kumamoto",NA,NA
"us20002mvq","Kyoto",NA,NA
"us20002mvq","Mie",NA,NA
"us20002mvq","Miyagi",NA,NA
"us20002mvq","Miyazaki",NA,NA
"us20002mvq","Nagano",NA,NA
"us20002mvq","Nagasaki",NA,NA
"us20002mvq","Nara",NA,NA
"us20002mvq","Niigata",NA,NA
"us20002mvq","Oita",NA,NA
"us20002mvq","Okayama",NA,NA
"us20002mvq","Okinawa",NA,NA
"us20002mvq","Osaka",NA,NA
"us20002mvq","Saga",NA,NA
"us20002mvq","Saitama",NA,NA
"us20002mvq","Shiga",NA,NA
"us20002mvq","Shimane",NA,NA
"us20002mvq","Shizuoka",NA,NA
"us20002mvq","Tochigi",NA,NA
"us20002mvq","Tokushima",NA,NA
"us20002mvq","Tokyo",NA,NA
"us20002mvq","Tottori",NA,NA
"us20002mvq","Toyama",NA,NA
"us20002mvq","Wakayama",NA,NA
"us20002mvq","Yamagata",NA,NA
"us20002mvq","Yamaguchi",NA,NA
"us20002mvq","Yamanashi",NA,NA
"us10002l37","Aichi",NA,NA
"us10002l37","Akita",NA,NA
"us10002l37","Aomori",NA,NA
"us10002l37","Chiba",NA,NA
"us10002l37","Ehime",NA,NA
"us10002l37","Fukui",NA,NA
